filename,slices,height,width,dtype,min_pixel,max_pixel,mean_pixel,file_size_mb,status
1.2.826.0.1.3680043.8.498.10000477131564453926848372798213249270.npz,24,224,224,uint8,0,252,24.93749169589711,0.73,OK
1.2.826.0.1.3680043.8.498.10000638804426494408367014941970083813.npz,24,224,224,uint8,4,251,36.531883603050595,0.71,OK
1.2.826.0.1.3680043.8.498.10001344172545964778532427094848882081.npz,24,224,224,uint8,11,243,88.67186005261479,0.95,OK
1.2.826.0.1.3680043.8.498.10001451031710804784840301648844254892.npz,24,224,224,uint8,0,246,46.99565197172619,0.68,OK
1.2.826.0.1.3680043.8.498.10001478771378979438868923030424928430.npz,24,224,224,uint8,0,253,41.36556404788478,0.6,OK
1.2.826.0.1.3680043.8.498.10002261797060075169053014192535848502.npz,24,224,224,uint8,0,251,38.020099250637756,0.76,OK
1.2.826.0.1.3680043.8.498.10002649128333294739274777073688197429.npz,24,224,224,uint8,0,249,32.48578503667092,0.76,OK
1.2.826.0.1.3680043.8.498.10002854609799107704163984063758739358.npz,24,224,224,uint8,0,252,19.89079523410927,0.54,OK
1.2.826.0.1.3680043.8.498.10002940759939066728493680169552264940.npz,24,224,224,uint8,0,235,37.99714587983631,0.75,OK
1.2.826.0.1.3680043.8.498.10002978947438170388686989793017172190.npz,24,224,224,uint8,0,248,25.408602552349066,0.68,OK
1.2.826.0.1.3680043.8.498.10003074389531472338522226501097852466.npz,24,224,224,uint8,0,250,42.903415809683246,0.69,OK
1.2.826.0.1.3680043.8.498.10003271121171039993431767719983720312.npz,24,224,224,uint8,0,251,32.56563645966199,0.49,OK
1.2.826.0.1.3680043.8.498.10003886071309219470056952473146996383.npz,24,224,224,uint8,0,245,61.7654190582483,0.85,OK
1.2.826.0.1.3680043.8.498.10004336982876139319949681818942051985.npz,24,224,224,uint8,0,248,46.345869207057824,0.67,OK
1.2.826.0.1.3680043.8.498.10004845943302932961578284887251371028.npz,24,224,224,uint8,0,252,58.31616709183673,0.79,OK
