filename,slices,height,width,dtype,min_pixel,max_pixel,mean_pixel,file_size_mb,status
1.2.826.0.1.3680043.8.498.10001344172545964778532427094848882081.npz,24,224,224,uint8,11,243,88.67186005261479,0.95,OK
1.2.826.0.1.3680043.8.498.10012053860908951630034517323361929409.npz,24,224,224,uint8,0,252,102.77205403645833,0.82,OK
1.2.826.0.1.3680043.8.498.10287904273310059382196983779019849923.npz,24,224,224,uint8,14,245,94.86635376806973,0.89,OK
1.2.826.0.1.3680043.8.498.10361163772957053587148227437761903657.npz,24,224,224,uint8,0,254,107.85804551312712,0.89,OK
1.2.826.0.1.3680043.8.498.10384735195657086082856589318374515404.npz,24,224,224,uint8,0,245,94.53844384433461,0.78,OK
1.2.826.0.1.3680043.8.498.10394947182375544247923690092905167176.npz,24,224,224,uint8,0,250,94.71990011825042,0.85,OK
1.2.826.0.1.3680043.8.498.10574102549068785120150299817609655904.npz,24,224,224,uint8,0,252,101.62118924718325,0.83,OK
1.2.826.0.1.3680043.8.498.10747058567857137959502943890477960088.npz,24,224,224,uint8,0,242,91.53153732196003,0.81,OK
1.2.826.0.1.3680043.8.498.10782428858828111243807774268737552720.npz,24,224,224,uint8,0,249,102.3513723360438,1.0,OK
1.2.826.0.1.3680043.8.498.10790783356264073999992185501529367279.npz,24,224,224,uint8,0,251,99.91709931042729,0.78,OK
1.2.826.0.1.3680043.8.498.10799479496416725407987323179903258953.npz,24,224,224,uint8,0,251,121.97738460618622,0.83,OK
1.2.826.0.1.3680043.8.498.10932995796154723393614655318975049915.npz,24,224,224,uint8,25,247,90.00678611288265,0.85,OK
1.2.826.0.1.3680043.8.498.10968891303104749055226988798403237586.npz,24,224,224,uint8,0,252,94.25434636745324,0.81,OK
1.2.826.0.1.3680043.8.498.10987377836642751711530384619196394627.npz,24,224,224,uint8,0,241,90.88762140598426,0.83,OK
1.2.826.0.1.3680043.8.498.11003432376261546407453277110049150283.npz,24,224,224,uint8,0,247,90.75817372847577,0.89,OK
1.2.826.0.1.3680043.8.498.11022932223748132478475714854014070992.npz,24,224,224,uint8,0,251,91.5322190888074,0.98,OK
1.2.826.0.1.3680043.8.498.11065099376616603651117818394555431646.npz,24,224,224,uint8,0,237,96.35812191087372,0.99,OK
1.2.826.0.1.3680043.8.498.11141658821914679354926570992468612604.npz,24,224,224,uint8,0,236,94.52641036883503,0.84,OK
1.2.826.0.1.3680043.8.498.11450104052174533941354855947032132537.npz,24,224,224,uint8,0,244,88.11686197916667,0.75,OK
1.2.826.0.1.3680043.8.498.11460434292147962660792903502775033671.npz,24,224,224,uint8,0,253,88.39572621040604,0.74,OK
1.2.826.0.1.3680043.8.498.11498680943128516681590603508560718657.npz,24,224,224,uint8,0,251,91.66418373990221,0.96,OK
1.2.826.0.1.3680043.8.498.11503697292988964850537522482109804415.npz,24,224,224,uint8,0,244,107.71006639960672,0.99,OK
1.2.826.0.1.3680043.8.498.11591440518165842045256561646017601624.npz,24,224,224,uint8,6,248,94.0681758543261,0.9,OK
1.2.826.0.1.3680043.8.498.11593657581716220244445985417722685883.npz,24,224,224,uint8,0,232,103.35080516581633,0.86,OK
1.2.826.0.1.3680043.8.498.11603685804070669485751089768792866547.npz,24,224,224,uint8,0,251,101.98443977200255,0.76,OK
1.2.826.0.1.3680043.8.498.11694048493199836318512873941399815316.npz,24,224,224,uint8,0,252,95.4652780545812,0.61,OK
1.2.826.0.1.3680043.8.498.11701762891508090107346803314817269062.npz,24,224,224,uint8,0,250,91.82422871492346,1.0,OK
1.2.826.0.1.3680043.8.498.11775596499462328643441269258376375184.npz,24,224,224,uint8,1,251,123.59273939067815,1.05,OK
1.2.826.0.1.3680043.8.498.11799162913698887642924984283363237911.npz,24,224,224,uint8,0,244,106.62643827062075,1.0,OK
1.2.826.0.1.3680043.8.498.11828451213207624405261972371979611206.npz,24,224,224,uint8,4,250,91.08522251674107,0.83,OK
1.2.826.0.1.3680043.8.498.11838149764282938564694341467168969847.npz,24,224,224,uint8,0,251,95.35671436543367,0.99,OK
1.2.826.0.1.3680043.8.498.11899368256839738621553100899022016458.npz,24,224,224,uint8,2,243,96.08992596061863,0.89,OK
1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015.npz,24,224,224,uint8,0,249,92.11509901812288,0.91,OK
1.2.826.0.1.3680043.8.498.11988034402635911286299008683445658558.npz,24,224,224,uint8,0,250,89.58273045546343,0.94,OK
1.2.826.0.1.3680043.8.498.12047580885277177081236197611110463074.npz,24,224,224,uint8,0,250,92.5764085419324,0.99,OK
1.2.826.0.1.3680043.8.498.12069473940220088270591721393180140353.npz,24,224,224,uint8,0,251,102.44253976004464,1.01,OK
1.2.826.0.1.3680043.8.498.12093487072854571367026044703082474314.npz,24,224,224,uint8,0,252,93.85591966278699,0.77,OK
1.2.826.0.1.3680043.8.498.12113823066210990212493196377263012861.npz,24,224,224,uint8,0,250,93.65189449803358,0.82,OK
1.2.826.0.1.3680043.8.498.12119038963128830836301952224302332475.npz,24,224,224,uint8,0,249,117.19355203018708,1.05,OK
1.2.826.0.1.3680043.8.498.12130880002847003913625830745806455769.npz,24,224,224,uint8,0,249,94.6885222350659,0.92,OK
1.2.826.0.1.3680043.8.498.12204684374709449411474891529190491098.npz,24,224,224,uint8,1,249,93.43857372050383,0.92,OK
1.2.826.0.1.3680043.8.498.12230536477872701916852281189275395581.npz,24,224,224,uint8,0,252,94.02401546556122,0.8,OK
1.2.826.0.1.3680043.8.498.12320302693215633762757989717078479754.npz,24,224,224,uint8,0,251,111.52786524766157,1.02,OK
1.2.826.0.1.3680043.8.498.12362698058594731801368084727037882156.npz,24,224,224,uint8,0,253,89.24972762542517,0.73,OK
1.2.826.0.1.3680043.8.498.12392385874808941511732045782506116231.npz,24,224,224,uint8,0,248,93.45197654257015,0.78,OK
1.2.826.0.1.3680043.8.498.12397566320943383265870338603540082635.npz,24,224,224,uint8,9,250,95.0723337186437,0.91,OK
1.2.826.0.1.3680043.8.498.12524046139486476803740432065693520062.npz,24,224,224,uint8,0,252,91.54982378693666,0.77,OK
1.2.826.0.1.3680043.8.498.12707440311028479852734571117562305287.npz,24,224,224,uint8,0,251,88.16157874282526,0.94,OK
1.2.826.0.1.3680043.8.498.12727419215265919304381508028645127897.npz,24,224,224,uint8,0,251,96.64177262701956,0.89,OK
1.2.826.0.1.3680043.8.498.12771549602237763789841828877947665531.npz,24,224,224,uint8,4,246,92.7133564851722,0.94,OK
1.2.826.0.1.3680043.8.498.12836209270253860624540818250354794761.npz,24,224,224,uint8,0,249,106.99987709927721,0.79,OK
1.2.826.0.1.3680043.8.498.12869397676148451644017774280524061206.npz,24,224,224,uint8,0,253,130.15907754703443,1.04,OK
1.2.826.0.1.3680043.8.498.12871977925779305440243735750930061290.npz,24,224,224,uint8,0,251,98.05945903752126,0.98,OK
1.2.826.0.1.3680043.8.498.12880956709329274627094397114192376185.npz,24,224,224,uint8,0,252,105.93434610172194,1.01,OK
1.2.826.0.1.3680043.8.498.13123673506421302207042671731444746362.npz,24,224,224,uint8,0,246,93.94545450015944,0.91,OK
1.2.826.0.1.3680043.8.498.13226766539418027648368523696684350727.npz,24,224,224,uint8,9,248,88.87590680803571,0.84,OK
1.2.826.0.1.3680043.8.498.13232411309655372210540775323491942095.npz,24,224,224,uint8,0,252,108.41461057079081,1.0,OK
1.2.826.0.1.3680043.8.498.13266113323584223845785375677885973278.npz,24,224,224,uint8,0,250,97.31282884247449,0.95,OK
1.2.826.0.1.3680043.8.498.13286503379265371033774285205964550322.npz,24,224,224,uint8,0,251,104.10967726934524,0.83,OK
1.2.826.0.1.3680043.8.498.14048739529189334917456148279764342644.npz,24,224,224,uint8,0,250,101.15770653964711,0.8,OK
1.2.826.0.1.3680043.8.498.15228082650758146979970012381023361974.npz,24,224,224,uint8,0,235,102.62540524022108,0.83,OK
1.2.826.0.1.3680043.8.498.15519619291868759169903952028965597876.npz,24,224,224,uint8,0,249,91.00492599383503,0.72,OK
1.2.826.0.1.3680043.8.498.15564555997210963302761715061258517615.npz,24,224,224,uint8,0,252,109.46088518415179,0.83,OK
1.2.826.0.1.3680043.8.498.15805086434277019962649095481574376484.npz,24,224,224,uint8,0,252,92.8333814971301,0.86,OK
1.2.826.0.1.3680043.8.498.17505962601960015648185436568973236643.npz,24,224,224,uint8,0,237,102.44485909598214,0.87,OK
1.2.826.0.1.3680043.8.498.18021473413630328645454451389497261448.npz,24,224,224,uint8,0,252,96.0760265531994,0.82,OK
1.2.826.0.1.3680043.8.498.18579242503683294541152406438995893380.npz,24,224,224,uint8,0,246,90.52666032233206,0.91,OK
1.2.826.0.1.3680043.8.498.19125380753075891196759915303526067956.npz,24,224,224,uint8,0,244,105.79967265226404,0.95,OK
1.2.826.0.1.3680043.8.498.19525394035488600069576706189863701527.npz,24,224,224,uint8,0,250,88.31833280187075,0.89,OK
1.2.826.0.1.3680043.8.498.19635739428844317290418324120194947027.npz,24,224,224,uint8,0,251,102.00277273995536,0.94,OK
1.2.826.0.1.3680043.8.498.20541770403691678577267364860621717118.npz,24,224,224,uint8,0,239,90.08378922858206,0.89,OK
1.2.826.0.1.3680043.8.498.20875811177511119320435700277172013278.npz,24,224,224,uint8,0,250,90.4889679993091,0.83,OK
1.2.826.0.1.3680043.8.498.22118441735689162564622073053597821342.npz,24,224,224,uint8,0,252,88.18765113467262,0.76,OK
1.2.826.0.1.3680043.8.498.22144202160426098663769707671028006189.npz,24,224,224,uint8,0,251,91.3709409545068,0.75,OK
1.2.826.0.1.3680043.8.498.22510106959775324133556985118007172626.npz,24,224,224,uint8,0,250,89.36692592075893,0.87,OK
1.2.826.0.1.3680043.8.498.22793554490195421179202308721676214800.npz,24,224,224,uint8,0,245,91.90748897215136,0.74,OK
1.2.826.0.1.3680043.8.498.23364970215057399280655303691211042973.npz,24,224,224,uint8,0,247,92.77261124176233,0.77,OK
1.2.826.0.1.3680043.8.498.24024923226226294642373075936253282669.npz,24,224,224,uint8,14,248,112.48839833785077,0.91,OK
1.2.826.0.1.3680043.8.498.24329565745226215835696326258945983959.npz,24,224,224,uint8,0,249,116.37305850074405,1.05,OK
1.2.826.0.1.3680043.8.498.24712146038044826209016234398325378320.npz,24,224,224,uint8,0,252,100.0564272095557,0.85,OK
1.2.826.0.1.3680043.8.498.25300898727036340186893896779808410901.npz,24,224,224,uint8,0,231,89.0089725831739,0.83,OK
